Société Propriétaire;Type de détention;"Code Actif
AIREF SA";"Code actif
ALTAIX";Nom actif;Pays;Région;Ville;CP;Adresse;QP;Valeur Expertise Déc 2018 (QP);Typologie Principale;Fond; VM 
VICTOIRE IMMO;Direct;15;3;BEAUMARCHAIS;France;Ile-de-France;PARIS;75003;103 BD BEAUMARCHAIS;0,924;32718580,06;Mixte;Aviva Vie PHF; 30 240 268   
VICTOIRE IMMO;Direct;26;101;ETIENNE MARCEL;France;Ile-de-France;PARIS;75002;32 RUE ETIENNE MARCEL;0,924;20518431,56;Mixte;Aviva Vie PHF; 18 964 236   
VICTOIRE IMMO;Direct;45;107;LISBONNE;France;Ile-de-France;PARIS;75008;45 RUE DE LISBONNE;0,924;13863805,11;Mixte;Aviva Vie PHF; 12 813 673   
VICTOIRE IMMO;Direct;51;109;MOLITOR;France;Ile-de-France;PARIS;75016;16 RUE MOLITOR;0,924;14972909,52;Habitation;Aviva Vie PHF; 13 838 767   
VICTOIRE IMMO;Direct;64;407;SAINT CLAUDE;France;Ile-de-France;PARIS;75003;6 RUE SAINT CLAUDE;0,924;9150111,371;Mixte;Aviva Vie PHF; 8 457 024   
VICTOIRE IMMO;Direct;70;105;TEMPLE;France;Ile-de-France;PARIS;75003;148/150 RUE DU TEMPLE;0,924;32995856,16;Mixte;Aviva Vie PHF; 30 496 541   
LOGIPRIME;Direct;103;19130;ISLE D'ABEAU;France;Auvergne-Rhône-Alpes;SAINT QUENTIN FALLAVIER;38000;ZAC DE CHESNES NORD ET DE CHESNE OUEST;0,241;4344354;Logistique;Aviva Vie PHF; 1 048 523   
LOGIPRIME;Direct;115;19150;NANTEUIL LE HAUDOUIN;France;Hauts-de-France;NANTEUIL LE HAUDOUIN;60440;;0,241;8712843,3;Logistique;Aviva Vie PHF; 2 102 871   
LOGIPRIME;Direct;117;19160;SAINT JORY;France;Midi Pyrénées;SAINT JORY;31790;ZONE LOGISTIQUE TOULOUSE EURONORD;0,241;2111838,75;Logistique;Aviva Vie PHF; 509 699   
LOGIPRIME;Direct;122;19140;BUCHERES 2;France;Grand-Est;BUCHERES;10800; ZONE DU PARC LOGISTIQUE DE L'AUBE;0,241;2968641,9;Logistique;Aviva Vie PHF; 716 491   
MONTAIGNE;Direct;83;1533;MONTAIGNE;France;Ile-de-France;BOIS COLOMBES;92770;80 AVENUE DE L'EUROPE;0,084;16382222,22;Bureaux;ARP VR; 1 383 388   
SCI CHARLES HERMITE;Direct;100;9500;PUSHED SLAB;France;Ile-de-France;PARIS;75013;1-11 RUE BRILLAT SAVARIN;0,054;10604974,94;Bureaux;ARP VR; 570 052   
SCI CHARLES HERMITE;Direct;113;9600;MOODS;France;Ile-de-France;SAINT DENIS;93200;2-4 MAIL DE LA PETITE Espagne;0,054;7627583,478;Bureaux;ARP VR; 410 007   
AER;Direct;78;3000;CHATEAUDUN;France;Ile-de-France;PARIS;75009;36, RUE DE CHATEAUDUN;1,000;77700000;Bureaux;AFER; 77 700 000   
AVIVA VIE FDS AFER;Direct;5;7020;15 FENELON;France;Ile-de-France;PARIS;75010;13/15 RUE FENELON/8 RUE DE ROCROY;1,000;17880000;Bureaux;AFER; 17 880 000   
AVIVA VIE FDS AFER;Direct;52;7000;NATIONALE LILLE;France;Hauts-de-France;LILLE;59000;2/10 RUE NATIONALE;1,000;10220000;Mixte;AFER; 10 220 000   
AVIVA VIE FDS AFER;Direct;68;7010;SAUSSAYE;France;Ile-de-France;NEUILLY;92200;3 bis BD. DE LA SAUSSAYE;1,000;30000000;Habitation;AFER; 30 000 000   
AVIVA VIE FDS AFER;Direct;74;7030;VICTOIRE;France;Ile-de-France;PARIS;75009;69 RUE DE LA VICTOIRE;1,000;41000000;Bureaux;AFER; 41 000 000   
AVIVA VIE FDS AFER;Direct;89;7040;DORNBUSH;Allemagne;Hambourg;HAMBOURG;20095;1/2 DORNBUSH;1,000;38200000;Mixte;AFER; 38 200 000   
AVIVA VIE FDS AFER;Direct;99;7050;ELEMENTS;France;Ile-de-France;PARIS;75013;AVENUE PIERRE MENDES France;1,000;220000000;Bureaux;AFER; 220 000 000   
SCI PESARO;Direct;90;1800;ROSSINI;France;Ile-de-France;PARIS;75009;38 BD DES ITALIENS - ROSSINI;0,282;33755400;Mixte;AFER; 9 519 023   
SCI PESARO;Direct;95;1810;L'ASTORG;France;Ile-de-France;PARIS;75008;25-27 RUE D'ASTORG et 14 RUE ROQUEPINE;0,282;61732620;Bureaux;AFER; 17 408 599   
SCI CHARLES HERMITE;Direct;100;9500;PUSHED SLAB;France;Ile-de-France;PARIS;75013;1-11 RUE BRILLAT SAVARIN;0,413;81569920,33;Bureaux;AFER; 33 725 236   
SCI CHARLES HERMITE;Direct;113;9600;MOODS;France;Ile-de-France;SAINT DENIS;93200;2-4 MAIL DE LA PETITE Espagne;0,413;58668821;Bureaux;AFER; 24 256 734   
LOGIPRIME;Direct;103;19130;ISLE D'ABEAU;France;Auvergne-Rhône-Alpes;SAINT QUENTIN FALLAVIER;38000;ZAC DE CHESNES NORD ET DE CHESNE OUEST;0,267;4812349,155;Logistique;AFER; 1 286 595   
LOGIPRIME;Direct;115;19150;NANTEUIL LE HAUDOUIN;France;Hauts-de-France;NANTEUIL LE HAUDOUIN;60440;;0,267;9651433,582;Logistique;AFER; 2 580 337   
LOGIPRIME;Direct;117;19160;SAINT JORY;France;Midi Pyrénées;SAINT JORY;31790;ZONE LOGISTIQUE TOULOUSE EURONORD;0,267;2339336,395;Logistique;AFER; 625 428   
LOGIPRIME;Direct;122;19140;BUCHERES 2;France;Grand-Est;BUCHERES;10800; ZONE DU PARC LOGISTIQUE DE L'AUBE;0,267;3288438,589;Logistique;AFER; 879 173   
ACE;Direct;106;1910;CARDINET;France;Ile-de-France;PARIS;75017;155 TER RUE CARDINET;0,180;809506,1258;Commerces;AFER; 145 622   
ACE;Direct;107;1920;JULES FERRY;France;Ile-de-France;PARIS;75011;11/13 BD JULES FERRY;0,180;908445,7634;Commerces;AFER; 163 421   
ACE;Direct;110;1930;LES ALLEES FOCH;France;Ile-de-France;VERSAILLES;78000;24-26 RUE DU MARECHAL FOCH;0,180;3417914,753;Commerces;AFER; 614 850   
ACE;Direct;114;1940;TENGO;France;Hauts-de-France;NOGENT-SUR-OISE;60180;110 AVENUE DE L'EUROPE;0,180;5108883,105;Commerces;AFER; 919 038   
SCI Campus Rimbaud;Indirect;124;;CAMPUS RIMBAUD ST DENIS (C & D);France;Ile-de-France;SAINT DENIS;93210;10-12 RUE CAMILLE MOKE;0,150;54795000;Bureaux;AFER; 8 219 250   
PRIMOTEL;Direct;;;Hyatt Regency;Germany;;DUSSELDORF;40221;Speditionstrasse 19;0,968;220975000;Hotel;AFER; 214 012 461   
PRIMOTEL;Direct;;;Renaissance Brussel Hotel & Marriott Executive Apartments ;Belgium;;BRUSSELS;1050;15 - 19 rue du Parnasse;1,000;37500000;Hotel;AFER; 37 500 000   
LOGIPRIME;Direct;103;19130;ISLE D'ABEAU;France;Auvergne-Rhône-Alpes;SAINT QUENTIN FALLAVIER;38000;ZAC DE CHESNES NORD ET DE CHESNE OUEST;0,019;345230,6793;Logistique;AER SHF; 6 621   
LOGIPRIME;Direct;115;19150;NANTEUIL LE HAUDOUIN;France;Hauts-de-France;NANTEUIL LE HAUDOUIN;60440;;0,019;692379,3069;Logistique;AER SHF; 13 279   
LOGIPRIME;Direct;117;19160;SAINT JORY;France;Midi Pyrénées;SAINT JORY;31790;ZONE LOGISTIQUE TOULOUSE EURONORD;0,019;167820,4691;Logistique;AER SHF; 3 219   
LOGIPRIME;Direct;122;19140;BUCHERES 2;France;Grand-Est;BUCHERES;10800; ZONE DU PARC LOGISTIQUE DE L'AUBE;0,019;235907,6309;Logistique;AER SHF; 4 525   
SAS 100 COURCELLES;Direct;21;5410;CORTIS;France;Ile-de-France;PARIS;75017;3 RUE LEON JOST/98-100 RUE DE COURCELLES;0,100;10290000;Bureaux;Aviva Vie SHF; 1 029 000   
LOGIPRIME;Direct;103;19130;ISLE D'ABEAU;France;Auvergne-Rhône-Alpes;SAINT QUENTIN FALLAVIER;38000;ZAC DE CHESNES NORD ET DE CHESNE OUEST;0,222;3999127,687;Logistique;Aviva Vie SHF; 888 501   
LOGIPRIME;Direct;115;19150;NANTEUIL LE HAUDOUIN;France;Hauts-de-France;NANTEUIL LE HAUDOUIN;60440;;0,222;8020472,751;Logistique;Aviva Vie SHF; 1 781 939   
LOGIPRIME;Direct;117;19160;SAINT JORY;France;Midi Pyrénées;SAINT JORY;31790;ZONE LOGISTIQUE TOULOUSE EURONORD;0,222;1944020,404;Logistique;Aviva Vie SHF; 431 910   
LOGIPRIME;Direct;122;19140;BUCHERES 2;France;Grand-Est;BUCHERES;10800; ZONE DU PARC LOGISTIQUE DE L'AUBE;0,222;2732737,253;Logistique;Aviva Vie SHF; 607 143   
